id,label,is_digital,type,strat_fold
0000e24edb864abe8b0defa703742dcb,1,True,EGYPT/DL,3
000447addd8a4e4aabb62238ba3d559f,0,True,MAURITIUS/ID,3
0004b435792e4a5387a228133ad27a5f,1,True,GUINEA/DL,2
000514f0340642f3b2eb83bff862458a,0,True,EGYPT/DL,4
0006fe32740941c58a2a96cf28768e7f,0,True,EGYPT/DL,1
0007db19385841f8b45d50329be83a1a,1,True,EGYPT/DL,2
00083e9c305b467b9a414eb96c05e877,0,True,BENIN/DL,2
0008b444e8514df2aa71a47a9df69ce7,1,True,MOZAMBIQUE/DL,0
0008d2cb7c64466d975406593da2c719,0,True,BENIN/DL,0
0009a1b4b8f04e2bb920e791d087165a,1,True,MAURITIUS/ID,0
000a27cd549647359deaa78721858877,0,True,MOZAMBIQUE/DL,3
000a3010ddea4e1d8eab2437d8915bd5,1,True,GUINEA/DL,3
000b0df15e504699a6c2e41d62a5b5cf,1,True,EGYPT/DL,1
000b352feaa04340842f3e1e725ac8c8,0,True,GUINEA/DL,0
000c096307014a55b963905b4ade4cd8,1,True,MAURITIUS/ID,0
000d8e7c324247a3bccc80ad2814a2ce,1,True,GUINEA/DL,2
000d99c6eaae491483afbff2ecb73bb3,1,True,MAURITIUS/ID,1
000dfd2aa5824ce5bc3faefe29a2b348,0,True,MAURITIUS/ID,4
000e6852a3f6426d9754e31a5ef92552,1,True,GUINEA/DL,1
000ee902604c4a6087c086935a7c1c20,1,True,BENIN/DL,1
0010107385a44f1098ba4bc68f1c35a4,1,True,MAURITIUS/ID,0
00106a7ac03c4e62a692b07495943688,0,True,BENIN/DL,3
001312e003a84c3d95422747997ff2cd,1,True,BENIN/DL,1
0014a96a4983431abafbc60de5e355cf,0,True,MAURITIUS/ID,1
0014eb0f536e48a2a75f5b11fd729ac9,0,True,EGYPT/DL,2
0016392efbf44be6adfd19a306594394,0,True,BENIN/DL,2
001769a4a19945f0bf42f7dd55a03899,1,True,EGYPT/DL,4
0018f0454e9346b6a6dbd62d48d29e66,0,True,MAURITIUS/ID,1
001927d150fa4caabcb153f953b04ea7,0,True,MAURITIUS/ID,0
0019404f5943455894bb6edaa0f4c6fa,0,True,GUINEA/DL,4
0019a813e5a44b8289d4d21ce50bb7f8,1,True,EGYPT/DL,1
001a6f5f793e4e49a93d1ab0625ce475,1,True,EGYPT/DL,2
001bf759057044299371acf8fd00a0bb,0,True,EGYPT/DL,2
001cdb57f8d2436386844fce52a441bf,0,True,BENIN/DL,0
001d744805b44207aff13532a6135c28,1,True,BENIN/DL,3
001e4747d82e4502a1a447fca3f38196,1,True,EGYPT/DL,0
001ec3a820c843b08e40939f035d0c40,0,True,MAURITIUS/ID,0
001f8c2e15f24aacab9d1dbdb7877cd1,1,True,GUINEA/DL,3
001f98b95c374340b4f4996ffa7fcfae,0,True,GUINEA/DL,4
001fe4c23169495f93e9ba02b93e4c1e,1,True,BENIN/DL,1
0021758062ed4a109b8d965203a803bb,0,True,MAURITIUS/ID,3
0021b62a252248669a16bcaa8d2c1d15,0,True,MOZAMBIQUE/DL,1
00239e9ab6de466eb3b3db9bdbaf260d,0,True,EGYPT/DL,0
002732cc669b4f1cba3e1e580ecf5f7e,0,True,GUINEA/DL,3
00274669195947069423fe1f93a990d6,0,True,BENIN/DL,4
0027c2e67339470fab5926790fe08e92,0,True,GUINEA/DL,3
00284c6100564cb985d7cede7f9e7014,0,True,GUINEA/DL,3
002961ebc7164f49a47a102bdbb5d802,1,True,MAURITIUS/ID,2
